"Country" "Year" "Value"
"Australia" 1982 1
"Australia" 1983 6
"Australia" 1984 54
"Australia" 1985 127
"Australia" 1986 231
"Australia" 1987 381
"Australia" 1988 536
"Australia" 1989 614
"Australia" 1990 673
"Australia" 1991 804
"Australia" 1992 791
"Australia" 1993 845
"Australia" 1994 953
"Australia" 1995 811
"Australia" 1996 670
"Australia" 1997 395
"Australia" 1998 329
"Australia" 1999 216
"Australia" 2000 265
"Australia" 2001 213
"Australia" 2002 246
"Australia" 2003 245
"Australia" 2004 202
"Australia" 2005 232
"Australia" 2006 221
"Australia" 2007 161
"Austria" 1981 0
"Austria" 1982 0
"Austria" 1983 0
"Austria" 1984 0
"Austria" 1985 30
"Austria" 1986 33
"Austria" 1987 96
"Austria" 1988 115
"Austria" 1989 160
"Austria" 1990 186
"Austria" 1991 223
"Austria" 1992 227
"Austria" 1993 261
"Austria" 1994 196
"Austria" 1995 245
"Austria" 1996 189
"Austria" 1997 146
"Austria" 1998 162
"Austria" 1999 152
"Austria" 2000 144
"Austria" 2001 121
"Austria" 2002 115
"Austria" 2003 105
"Austria" 2004 106
"Austria" 2005 117
"Austria" 2006 118
"Austria" 2007 129
"Austria" 2008 110
"Austria" 2009 102
"Austria" 2010 94
"Austria" 2011 65
"Belgium" 1981 9
"Belgium" 1982 14
"Belgium" 1983 32
"Belgium" 1984 50
"Belgium" 1985 69
"Belgium" 1986 74
"Belgium" 1987 121
"Belgium" 1988 141
"Belgium" 1989 166
"Belgium" 1990 206
"Belgium" 1991 257
"Belgium" 1992 251
"Belgium" 1993 254
"Belgium" 1994 262
"Belgium" 1995 255
"Belgium" 1996 218
"Belgium" 1997 134
"Belgium" 1998 130
"Belgium" 1999 124
"Belgium" 2000 148
"Belgium" 2001 143
"Belgium" 2002 143
"Belgium" 2003 137
"Belgium" 2004 126
"Belgium" 2005 152
"Belgium" 2006 103
"Belgium" 2007 100
"Belgium" 2008 117
"Belgium" 2009 120
"Belgium" 2010 88
"Belgium" 2011 54
"Canada" 1981 10
"Canada" 1982 26
"Canada" 1983 64
"Canada" 1984 162
"Canada" 1985 403
"Canada" 1986 689
"Canada" 1987 1014
"Canada" 1988 1179
"Canada" 1989 1411
"Canada" 1990 1470
"Canada" 1991 1532
"Canada" 1992 1755
"Canada" 1993 1827
"Canada" 1994 1791
"Canada" 1995 1656
"Canada" 1996 1193
"Canada" 1997 736
"Canada" 1998 652
"Canada" 1999 565
"Canada" 2000 521
"Canada" 2001 445
"Canada" 2002 434
"Canada" 2003 399
"Canada" 2004 343
"Canada" 2005 395
"Canada" 2006 344
"Canada" 2007 336
"Canada" 2008 336
"Canada" 2009 258
"Canada" 2010 221
"Canada" 2011 151
"Czech Republic" 1981 0
"Czech Republic" 1982 0
"Czech Republic" 1983 0
"Czech Republic" 1984 0
"Czech Republic" 1985 0
"Czech Republic" 1986 1
"Czech Republic" 1987 2
"Czech Republic" 1988 6
"Czech Republic" 1989 7
"Czech Republic" 1990 5
"Czech Republic" 1991 2
"Czech Republic" 1992 9
"Czech Republic" 1993 15
"Czech Republic" 1994 12
"Czech Republic" 1995 13
"Czech Republic" 1996 19
"Czech Republic" 1997 20
"Czech Republic" 1998 8
"Czech Republic" 1999 17
"Czech Republic" 2000 15
"Czech Republic" 2001 8
"Czech Republic" 2002 8
"Czech Republic" 2003 9
"Czech Republic" 2004 13
"Czech Republic" 2005 13
"Czech Republic" 2006 18
"Czech Republic" 2007 23
"Czech Republic" 2008 29
"Czech Republic" 2009 23
"Czech Republic" 2010 26
"Czech Republic" 2011 23
"Denmark" 1980 1
"Denmark" 1981 3
"Denmark" 1982 3
"Denmark" 1983 12
"Denmark" 1984 17
"Denmark" 1985 38
"Denmark" 1986 69
"Denmark" 1987 100
"Denmark" 1988 125
"Denmark" 1989 176
"Denmark" 1990 197
"Denmark" 1991 210
"Denmark" 1992 209
"Denmark" 1993 239
"Denmark" 1994 236
"Denmark" 1995 213
"Denmark" 1996 159
"Denmark" 1997 109
"Denmark" 1998 74
"Denmark" 1999 76
"Denmark" 2000 59
"Denmark" 2001 71
"Denmark" 2002 45
"Denmark" 2003 40
"Denmark" 2004 61
"Denmark" 2005 44
"Denmark" 2006 51
"Denmark" 2007 32
"Denmark" 2008 40
"Denmark" 2009 36
"Denmark" 2010 44
"Denmark" 2011 59
"Finland" 1981 0
"Finland" 1982 1
"Finland" 1983 2
"Finland" 1984 3
"Finland" 1985 5
"Finland" 1986 6
"Finland" 1987 7
"Finland" 1988 17
"Finland" 1989 17
