"Country" "Year" "Value"
"Afghanistan" 2001 2000
"Afghanistan" 2006 3200
"Afghanistan" 2011 5800
"Algeria" 2001 0
"Angola" 2011 230000
"Argentina" 2001 66000
"Argentina" 2006 80000
"Argentina" 2011 95000
"Australia" 2011 22000
"Austria" 2001 5500
"Austria" 2006 11000
"Austria" 2011 18000
"Bahamas" 2001 6500
"Bahamas" 2011 6500
"Bangladesh" 2001 2200
"Bangladesh" 2006 4200
"Belarus" 2001 4900
"Belarus" 2006 16000
"Belarus" 2011 20000
"Belgium" 2001 9300
"Benin" 2006 60000
"Benin" 2011 64000
"Benin" 2001 66000
"Bhutan" 2011 1300
"Bolivia (Plurinational State of)" 2001 26000
"Botswana" 2001 270000
"Botswana" 2006 280000
"Botswana" 2011 300000
"Bulgaria" 2006 3100
"Bulgaria" 2011 3900
"Burkina Faso" 2011 120000
"Burkina Faso" 2006 130000
"Cambodia" 2006 69000
"Cambodia" 2001 85000
"Cameroon" 2001 450000
"Cameroon" 2006 530000
"Cabo Verde" 2001 2700
"Cabo Verde" 2006 3100
"Cabo Verde" 2011 3300
"Central African Republic" 2011 130000
"Chad" 2011 210000
"Chile" 2001 42000
"Chile" 2006 49000
"Chile" 2011 51000
"China" 2001 NA
"Colombia" 2011 150000
"Comoros" 2001 NA
"Comoros" 2006 NA
"Comoros" 2011 NA
"Costa Rica" 2006 7300
"Costa Rica" 2011 8800
"C?te d'Ivoire" 2011 360000
"C?te d'Ivoire" 2006 440000
"Cuba" 2001 3600
"Cuba" 2006 7100
"Cuba" 2011 14000
"Czech Republic" 2001 1400
"Czech Republic" 2006 1800
"Democratic Republic of the Congo" 2001 NA
"Democratic Republic of the Congo" 2006 NA
"Democratic Republic of the Congo" 2011 NA
"Denmark" 2001 3500
"Djibouti" 2001 12000
"Dominican Republic" 2011 44000
"Dominican Republic" 2006 48000
"Dominican Republic" 2001 52000
"Egypt" 2001 9100
"Egypt" 2011 9500
"El Salvador" 2001 12000
"El Salvador" 2006 16000
"El Salvador" 2011 24000
"Eritrea" 2011 23000
"Eritrea" 2006 24000
"Estonia" 2001 4700
"Estonia" 2006 8600
"Fiji" 2001 NA
"Fiji" 2006 NA
"Fiji" 2011 NA
"Finland" 2001 1700
"Gabon" 2001 35000
"Gabon" 2006 43000
"Gabon" 2011 46000
"Gambia" 2001 5700
"Georgia" 2011 4900
"Germany" 2001 44000
"Germany" 2006 59000
"Germany" 2011 73000
"Greece" 2006 9700
"Greece" 2011 11000
"Guatemala" 2001 28000
"Guatemala" 2006 39000
"Guinea-Bissau" 2006 16000
"Guinea-Bissau" 2011 24000
"Guyana" 2011 6200
"Guyana" 2006 7400
"Honduras" 2011 33000
"Honduras" 2006 44000
"Honduras" 2001 64000
"Hungary" 2001 3400
"Iceland" 2006 NA
"India" 2001 NA
"India" 2006 NA
"India" 2011 NA
"Indonesia" 2001 12000
"Iran (Islamic Republic of)" 2011 96000
"Ireland" 2001 4800
"Ireland" 2006 6400
"Ireland" 2011 7800
"Italy" 2006 140000
"Italy" 2011 150000
"Jamaica" 2011 30000
"Jamaica" 2006 32000
"Kazakhstan" 2001 9200
"Kazakhstan" 2006 13000
"Kazakhstan" 2011 19000
"Kenya" 2006 1500000
"Kenya" 2001 1600000
"Lao People's Democratic Republic" 2001 3200
